date,aggregator,candidate,value
2024-07-21,NS,Harris,0.411
2024-07-21,NS,Trump,0.456
2024-07-21,NYT,Harris,0.49
2024-07-21,NYT,Trump,0.46
2024-07-21,Economist,Harris,0.47
2024-07-21,Economist,Trump,0.46
2024-07-21,Average,Harris,0.457
2024-07-21,Average,Trump,0.459
2024-07-22,NS,Harris,0.427
2024-07-22,NS,Trump,0.468
2024-07-22,NYT,Harris,0.45
2024-07-22,NYT,Trump,0.48
2024-07-22,Economist,Harris,0.47
2024-07-22,Economist,Trump,0.46
2024-07-22,Average,Harris,0.449
2024-07-22,Average,Trump,0.469
2024-07-23,NS,Harris,0.427
2024-07-23,NS,Trump,0.442
2024-07-23,NYT,Harris,0.45
2024-07-23,NYT,Trump,0.47
2024-07-23,RCP,Harris,0.459
2024-07-23,RCP,Trump,0.475
2024-07-23,Economist,Harris,0.47
2024-07-23,Economist,Trump,0.46
2024-07-23,Average,Harris,0.452
2024-07-23,Average,Trump,0.462
2024-07-24,538,Harris,0.449
2024-07-24,538,Trump,0.44
2024-07-24,NS,Harris,0.433
2024-07-24,NS,Trump,0.448
2024-07-24,NYT,Harris,0.45
2024-07-24,NYT,Trump,0.47
2024-07-24,RCP,Harris,0.459
2024-07-24,RCP,Trump,0.476
2024-07-24,Economist,Harris,0.47
2024-07-24,Economist,Trump,0.46
2024-07-24,Average,Harris,0.452
2024-07-24,Average,Trump,0.459
2024-07-25,538,Harris,0.446
2024-07-25,538,Trump,0.442
2024-07-25,NS,Harris,0.433
2024-07-25,NS,Trump,0.446
2024-07-25,NYT,Harris,0.45
2024-07-25,NYT,Trump,0.47
2024-07-25,RCP,Harris,0.46
2024-07-25,RCP,Trump,0.479
2024-07-25,Economist,Harris,0.48
2024-07-25,Economist,Trump,0.46
2024-07-25,Average,Harris,0.454
2024-07-25,Average,Trump,0.459
2024-07-26,538,Harris,0.442
2024-07-26,538,Trump,0.439
2024-07-26,NS,Harris,0.438
2024-07-26,NS,Trump,0.444
2024-07-26,NYT,Harris,0.46
2024-07-26,NYT,Trump,0.47
2024-07-26,RCP,Harris,0.462
2024-07-26,RCP,Trump,0.479
2024-07-26,Economist,Harris,0.48
2024-07-26,Economist,Trump,0.46
2024-07-26,Average,Harris,0.456
2024-07-26,Average,Trump,0.458
2024-07-27,538,Harris,0.442
2024-07-27,538,Trump,0.439
2024-07-27,NS,Harris,0.438
2024-07-27,NS,Trump,0.444
2024-07-27,NYT,Harris,0.46
2024-07-27,NYT,Trump,0.47
2024-07-27,RCP,Harris,0.462
2024-07-27,RCP,Trump,0.478
2024-07-27,Economist,Harris,0.48
2024-07-27,Economist,Trump,0.46
2024-07-27,Average,Harris,0.456
2024-07-27,Average,Trump,0.458
2024-07-28,538,Harris,0.443
2024-07-28,538,Trump,0.441
2024-07-28,NS,Harris,0.443
2024-07-28,NS,Trump,0.45
2024-07-28,NYT,Harris,0.46
2024-07-28,NYT,Trump,0.47
2024-07-28,RCP,Harris,0.461
2024-07-28,RCP,Trump,0.479
2024-07-28,Economist,Harris,0.48
2024-07-28,Economist,Trump,0.46
2024-07-28,Average,Harris,0.457
2024-07-28,Average,Trump,0.46
2024-07-29,538,Harris,0.444
2024-07-29,538,Trump,0.44
2024-07-29,NS,Harris,0.442
2024-07-29,NS,Trump,0.446
2024-07-29,NYT,Harris,0.46
2024-07-29,NYT,Trump,0.47
2024-07-29,RCP,Harris,0.462
2024-07-29,RCP,Trump,0.481
2024-07-29,Economist,Harris,0.48
2024-07-29,Economist,Trump,0.46
2024-07-29,Average,Harris,0.458
2024-07-29,Average,Trump,0.459
2024-07-30,538,Harris,0.445
2024-07-30,538,Trump,0.436
2024-07-30,NS,Harris,0.441
2024-07-30,NS,Trump,0.445
2024-07-30,NYT,Harris,0.46
2024-07-30,NYT,Trump,0.47
2024-07-30,RCP,Harris,0.461
2024-07-30,RCP,Trump,0.481
2024-07-30,Economist,Harris,0.48
2024-07-30,Economist,Trump,0.46
2024-07-30,Average,Harris,0.457
2024-07-30,Average,Trump,0.458
2024-07-31,538,Harris,0.447
2024-07-31,538,Trump,0.435
2024-07-31,NS,Harris,0.444
2024-07-31,NS,Trump,0.442
2024-07-31,NYT,Harris,0.46
2024-07-31,NYT,Trump,0.47
2024-07-31,RCP,Harris,0.463
2024-07-31,RCP,Trump,0.48
2024-07-31,Economist,Harris,0.48
2024-07-31,Economist,Trump,0.46
2024-07-31,Average,Harris,0.459
2024-07-31,Average,Trump,0.457
2024-08-01,538,Harris,0.449
2024-08-01,538,Trump,0.437
2024-08-01,NS,Harris,0.448
2024-08-01,NS,Trump,0.441
2024-08-01,NYT,Harris,0.46
2024-08-01,NYT,Trump,0.47
2024-08-01,RCP,Harris,0.465
2024-08-01,RCP,Trump,0.477
2024-08-01,Economist,Harris,0.48
2024-08-01,Economist,Trump,0.46
2024-08-01,Average,Harris,0.46
2024-08-01,Average,Trump,0.457
2024-08-02,538,Harris,0.45
2024-08-02,538,Trump,0.436
2024-08-02,NS,Harris,0.45
2024-08-02,NS,Trump,0.439
2024-08-02,NYT,Harris,0.46
2024-08-02,NYT,Trump,0.47
2024-08-02,RCP,Harris,0.468
2024-08-02,RCP,Trump,0.478
2024-08-02,Economist,Harris,0.49
2024-08-02,Economist,Trump,0.46
2024-08-02,Average,Harris,0.464
2024-08-02,Average,Trump,0.457
2024-08-03,538,Harris,0.451
2024-08-03,538,Trump,0.436
2024-08-03,NS,Harris,0.451
2024-08-03,NS,Trump,0.44
2024-08-03,NYT,Harris,0.46
2024-08-03,NYT,Trump,0.47
2024-08-03,RCP,Harris,0.469
2024-08-03,RCP,Trump,0.477
2024-08-03,Economist,Harris,0.49
2024-08-03,Economist,Trump,0.46
2024-08-03,Average,Harris,0.464
2024-08-03,Average,Trump,0.457
2024-08-04,538,Harris,0.453
2024-08-04,538,Trump,0.437
2024-08-04,NS,Harris,0.455
2024-08-04,NS,Trump,0.441
2024-08-04,NYT,Harris,0.47
2024-08-04,NYT,Trump,0.47
2024-08-04,RCP,Harris,0.469
2024-08-04,RCP,Trump,0.473
2024-08-04,Economist,Harris,0.49
2024-08-04,Economist,Trump,0.46
2024-08-04,Average,Harris,0.467
2024-08-04,Average,Trump,0.456
2024-08-05,538,Harris,0.455
2024-08-05,538,Trump,0.435
2024-08-05,NS,Harris,0.457
2024-08-05,NS,Trump,0.438
2024-08-05,NYT,Harris,0.47
2024-08-05,NYT,Trump,0.46
2024-08-05,RCP,Harris,0.47
2024-08-05,RCP,Trump,0.468
2024-08-05,Economist,Harris,0.49
2024-08-05,Economist,Trump,0.46
2024-08-05,Average,Harris,0.468
2024-08-05,Average,Trump,0.452
2024-08-06,538,Harris,0.451
2024-08-06,538,Trump,0.434
2024-08-06,NS,Harris,0.457
2024-08-06,NS,Trump,0.436
2024-08-06,NYT,Harris,0.47
2024-08-06,NYT,Trump,0.47
2024-08-06,RCP,Harris,0.474
2024-08-06,RCP,Trump,0.469
2024-08-06,Economist,Harris,0.49
2024-08-06,Economist,Trump,0.45
2024-08-06,Average,Harris,0.468
2024-08-06,Average,Trump,0.452
2024-08-07,538,Harris,0.453
2024-08-07,538,Trump,0.434
2024-08-07,NS,Harris,0.458
2024-08-07,NS,Trump,0.437
2024-08-07,NYT,Harris,0.47
2024-08-07,NYT,Trump,0.46
2024-08-07,RCP,Harris,0.474
2024-08-07,RCP,Trump,0.469
2024-08-07,Economist,Harris,0.49
2024-08-07,Economist,Trump,0.45
2024-08-07,Average,Harris,0.469
