date,aggregator,candidate,value,date_added,error
2024-07-21,Economist,Harris,0.47,2024-09-14 01:24:27.273781,
2024-07-21,Economist,Trump,0.46,2024-09-14 01:24:27.273721,
2024-07-21,NS,Harris,0.411,2024-09-14 01:24:05.276189,
2024-07-21,NS,Trump,0.456,2024-09-14 01:24:05.276189,
2024-07-21,NYT,Harris,0.49,2024-09-14 01:24:05.276412,
2024-07-21,NYT,Trump,0.46,2024-09-14 01:24:05.276189,
2024-07-22,Economist,Harris,0.47,2024-09-14 01:24:27.273862,
2024-07-22,Economist,Trump,0.46,2024-09-14 01:24:27.273824,
2024-07-22,NS,Harris,0.427,2024-09-14 01:24:05.276189,
2024-07-22,NS,Trump,0.468,2024-09-14 01:24:05.276189,
2024-07-22,NYT,Harris,0.45,2024-09-14 01:24:05.276523,
2024-07-22,NYT,Trump,0.48,2024-09-14 01:24:05.276612,
2024-07-23,Economist,Harris,0.47,2024-09-14 01:24:27.273934,
2024-07-23,Economist,Trump,0.46,2024-09-14 01:24:27.273898,
2024-07-23,NS,Harris,0.427,2024-09-14 01:24:05.276189,
2024-07-23,NS,Trump,0.442,2024-09-14 01:24:05.276189,
2024-07-23,NYT,Harris,0.45,2024-09-14 01:24:05.276700,
2024-07-23,NYT,Trump,0.47,2024-09-14 01:24:05.276783,
2024-07-23,RCP,Harris,0.459,2024-09-14 01:17:56.200592,
2024-07-23,RCP,Trump,0.475,2024-09-14 01:17:56.200975,
2024-07-24,538,Harris,0.449,2024-09-14 01:15:27.478504,
2024-07-24,538,Trump,0.44,2024-09-14 01:15:27.478594,
2024-07-24,Economist,Harris,0.47,2024-09-14 01:24:27.274001,
2024-07-24,Economist,Trump,0.46,2024-09-14 01:24:27.273968,
2024-07-24,NS,Harris,0.433,2024-09-14 01:24:05.276189,
2024-07-24,NS,Trump,0.448,2024-09-14 01:24:05.276189,
2024-07-24,NYT,Harris,0.45,2024-09-14 01:24:05.276865,
2024-07-24,NYT,Trump,0.47,2024-09-14 01:24:05.276948,
2024-07-24,RCP,Harris,0.459,2024-09-14 01:17:56.201253,
2024-07-24,RCP,Trump,0.476,2024-09-14 01:17:56.201371,
2024-07-25,538,Harris,0.446,2024-09-14 01:15:27.478836,
2024-07-25,538,Trump,0.442,2024-09-14 01:15:27.479026,
2024-07-25,Economist,Harris,0.48,2024-09-14 01:24:27.274069,
2024-07-25,Economist,Trump,0.46,2024-09-14 01:24:27.274036,
2024-07-25,NS,Harris,0.433,2024-09-14 01:24:05.276189,
2024-07-25,NS,Trump,0.446,2024-09-14 01:24:05.276189,
2024-07-25,NYT,Harris,0.45,2024-09-14 01:24:05.277037,
2024-07-25,NYT,Trump,0.47,2024-09-14 01:24:05.277120,
2024-07-25,RCP,Harris,0.46,2024-09-14 01:17:56.201697,
2024-07-25,RCP,Trump,0.479,2024-09-14 01:17:56.202008,
2024-07-26,538,Harris,0.442,2024-09-14 01:15:27.479109,
2024-07-26,538,Trump,0.439,2024-09-14 01:15:27.479209,
2024-07-26,Economist,Harris,0.48,2024-09-14 01:24:27.274136,
2024-07-26,Economist,Trump,0.46,2024-09-14 01:24:27.274102,
2024-07-26,NS,Harris,0.438,2024-09-14 01:24:05.276189,
2024-07-26,NS,Trump,0.444,2024-09-14 01:24:05.276189,
2024-07-26,NYT,Harris,0.46,2024-09-14 01:24:05.277199,
2024-07-26,NYT,Trump,0.47,2024-09-14 01:24:05.277277,
2024-07-26,RCP,Harris,0.462,2024-09-14 01:17:56.202277,
2024-07-26,RCP,Trump,0.479,2024-09-14 01:17:56.202489,
2024-07-27,538,Harris,0.442,2024-09-14 01:15:27.479299,
2024-07-27,538,Trump,0.439,2024-09-14 01:15:27.479374,
2024-07-27,Economist,Harris,0.48,2024-09-14 01:24:27.274202,
2024-07-27,Economist,Trump,0.46,2024-09-14 01:24:27.274169,
2024-07-27,NS,Harris,0.438,2024-09-14 01:24:05.276189,
2024-07-27,NS,Trump,0.444,2024-09-14 01:24:05.276189,
2024-07-27,NYT,Harris,0.46,2024-09-14 01:24:05.277354,
2024-07-27,NYT,Trump,0.47,2024-09-14 01:24:05.277433,
2024-07-27,RCP,Harris,0.462,2024-09-14 01:17:56.202617,
2024-07-27,RCP,Trump,0.478,2024-09-14 01:17:56.202731,
2024-07-28,538,Harris,0.443,2024-09-14 01:15:27.479446,
2024-07-28,538,Trump,0.441,2024-09-14 01:15:27.479516,
2024-07-28,Economist,Harris,0.48,2024-09-14 01:24:27.274268,
2024-07-28,Economist,Trump,0.46,2024-09-14 01:24:27.274235,
2024-07-28,NS,Harris,0.443,2024-09-14 01:24:05.276189,
2024-07-28,NS,Trump,0.45,2024-09-14 01:24:05.276189,
2024-07-28,NYT,Harris,0.46,2024-09-14 01:24:05.277789,
2024-07-28,NYT,Trump,0.47,2024-09-14 01:24:05.277942,
2024-07-28,RCP,Harris,0.461,2024-09-14 01:17:56.203363,
2024-07-28,RCP,Trump,0.479,2024-09-14 01:17:56.203555,
2024-07-29,538,Harris,0.444,2024-09-14 01:15:27.479585,
2024-07-29,538,Trump,0.44,2024-09-14 01:15:27.480014,
2024-07-29,Economist,Harris,0.48,2024-09-14 01:24:27.274335,
2024-07-29,Economist,Trump,0.46,2024-09-14 01:24:27.274302,
2024-07-29,NS,Harris,0.442,2024-09-14 01:24:05.276189,
2024-07-29,NS,Trump,0.446,2024-09-14 01:24:05.276189,
2024-07-29,NYT,Harris,0.46,2024-09-14 01:24:05.278044,
2024-07-29,NYT,Trump,0.47,2024-09-14 01:24:05.278132,
2024-07-29,RCP,Harris,0.462,2024-09-14 01:17:56.203775,
2024-07-29,RCP,Trump,0.481,2024-09-14 01:17:56.203941,
2024-07-30,538,Harris,0.445,2024-09-14 01:15:27.480110,
2024-07-30,538,Trump,0.436,2024-09-14 01:15:27.480184,
